GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ISO2-2023-Testing-P2,ISO2_2023_Testing_P2.ISO2_2023_Testing_P2,QuadraticEquation,49,61,2,2,7,15,3,1,1,1
ISO2-2023-Testing-P2,ISO2_2023_Testing_P2.ISO2_2023_Testing_P2,InputOutputHandler,7,22,0,2,2,7,1,4,1,3
